draft_name,document_found,recorded_group_name,recorded_group_acronym,recorded_group_type,is_recorded_wg,is_individual_submissions,filename_wg_candidates
draft-scott-netconf-schema-query,1,Individual Submissions,none,individ,0,1,netconf;schema
draft-scott-neurovix-synodo-aegis,1,Individual Submissions,none,individ,0,1,
draft-scrm-aiproto-usecases,1,Individual Submissions,none,individ,0,1,
draft-scskf-dhc-dhcpv4-over-dhcpv6,1,Dynamic Host Configuration,dhc,wg,1,0,dhc
draft-sct-midcom-megaco,1,Individual Submissions,none,individ,0,1,megaco;midcom
draft-sct-midcom-megaco-pkg,1,Individual Submissions,none,individ,0,1,megaco;midcom
draft-sctl-advertising-proxy,1,Extensions for Scalable DNS Service Discovery,dnssd,wg,1,0,
draft-sctl-discovery-broker,1,Individual Submissions,none,individ,0,1,
draft-sctl-dnssd-mdns-relay,1,Extensions for Scalable DNS Service Discovery,dnssd,wg,1,0,dnssd
draft-sctl-dnssd-unicast-autoconfig,1,Individual Submissions,none,individ,0,1,dnssd
draft-sctl-service-registration,1,Individual Submissions,none,individ,0,1,
draft-scudder-bgp-entropy-label,1,Individual Submissions,none,individ,0,1,bgp
draft-scudder-bgp-multisession,1,Individual Submissions,none,individ,0,1,bgp
draft-scudder-bmp,1,Individual Submissions,none,individ,0,1,
draft-scudder-deprecate-dpa-etal,1,Individual Submissions,none,individ,0,1,
draft-scudder-grow-bmp-peer-up,1,Individual Submissions,none,individ,0,1,grow
draft-scudder-grow-bmp-registries-change,1,Global Routing Operations,grow,wg,1,0,grow
draft-scudder-idr-bgp4-rfc4271bis,1,Individual Submissions,none,individ,0,1,idr
draft-scudder-idr-capabilities-registry-change,1,Inter-Domain Routing,idr,wg,1,0,idr
draft-scudder-idr-ebgp-rr,1,Individual Submissions,none,individ,0,1,idr
draft-scudder-idr-elc,1,Individual Submissions,none,individ,0,1,idr
draft-scudder-idr-entropy-label,1,Inter-Domain Routing,idr,wg,1,0,idr
draft-scudder-idr-nhc,1,Individual Submissions,none,individ,0,1,idr
draft-scudder-idr-open-registry,1,Individual Submissions,none,individ,0,1,idr
draft-scudder-idr-optional-transitive,1,Individual Submissions,none,individ,0,1,idr
draft-scudder-idr-rfc3392-bis,1,Individual Submissions,none,individ,0,1,idr
draft-scudder-idr-rt-constrain-lite,1,Individual Submissions,none,individ,0,1,idr
draft-scudder-mpls-deprecate-bgp-entropy-label,1,Multiprotocol Label Switching,mpls,wg,1,0,bgp;mpls
draft-scurtescu-secevent-event-stream-mgmt-api,1,Individual Submissions,none,individ,0,1,secevent
draft-scurtescu-secevent-risc-use-cases,1,Individual Submissions,none,individ,0,1,secevent
draft-scurtescu-secevent-simple-control-plane,1,Individual Submissions,none,individ,0,1,secevent;simple
draft-sd-l2vpn-evpn-overlay,1,Individual Submissions,none,individ,0,1,l2vpn
draft-sdalu-anep-ipv6,1,Individual Submissions,none,individ,0,1,ipv6
draft-sdanda-localauth-mib,1,Individual Submissions,none,individ,0,1,
draft-sdecugis-dime-diameter-erp,1,Individual Submissions,none,individ,0,1,dime
draft-sdecugis-mext-kbit-issues,1,Individual Submissions,none,individ,0,1,mext
draft-sdecugis-mextkbitissues,1,Individual Submissions,none,individ,0,1,
draft-sdry-bmwg-mvpnscale,1,Individual Submissions,none,individ,0,1,bmwg
draft-sds-definition-overview,1,Individual Submissions,none,individ,0,1,
draft-sds-reference-usecase,1,Individual Submissions,none,individ,0,1,
draft-sdt-detnet-security,1,Deterministic Networking,detnet,wg,1,0,detnet
draft-sdt-roll-rpl-security,1,Individual Submissions,none,individ,0,1,roll
draft-seak-malware-dedl,1,Individual Submissions,none,individ,0,1,
draft-seamless-flow,1,Individual Submissions,none,individ,0,1,
draft-seantek-abnf-more-core-rules,1,Applications and Real-Time Area,art,area,0,0,core
draft-seantek-certfrag,1,Individual Submissions,none,individ,0,1,
draft-seantek-certspec,1,Individual Submissions,none,individ,0,1,
draft-seantek-constrained-abnf,1,Individual Submissions,none,individ,0,1,
draft-seantek-dane-alps,1,Individual Submissions,none,individ,0,1,dane
draft-seantek-image-bmp,1,Individual Submissions,none,individ,0,1,
draft-seantek-image-wmf-emf,1,Individual Submissions,none,individ,0,1,
draft-seantek-kerwin-arcmedia-type,1,Individual Submissions,none,individ,0,1,
draft-seantek-ldap-pkcs9,1,Applications and Real-Time Area,art,area,0,0,
draft-seantek-mail-regexen,1,Applications and Real-Time Area,art,area,0,0,
draft-seantek-pkcs8-encrypted,1,Individual Submissions,none,individ,0,1,
draft-seantek-rdf-urn,1,Individual Submissions,none,individ,0,1,urn
draft-seantek-sha-uris,1,Individual Submissions,none,individ,0,1,
draft-seantek-text-markdown-media-type,1,ART Area General Applications Working Group,appsawg,wg,1,0,
draft-seantek-text-markdown-use-cases,1,ART Area General Applications Working Group,appsawg,wg,1,0,
draft-seantek-text-nfo,1,Individual Submissions,none,individ,0,1,
draft-seantek-tid-urn,1,Individual Submissions,none,individ,0,1,urn
draft-seantek-unicode-in-abnf,1,Individual Submissions,none,individ,0,1,
draft-seantek-windows-image,1,Individual Submissions,none,individ,0,1,
draft-seantek-xmlns-rdf-urns,1,Individual Submissions,none,individ,0,1,
draft-seantek-xmlns-urn,1,Individual Submissions,none,individ,0,1,urn
draft-sebastian-vitcpmib,1,Individual Submissions,none,individ,0,1,
draft-secheverria-ace-client-disadvantaged,1,Individual Submissions,none,individ,0,1,ace
draft-secretaries-good-practices,1,Individual Submissions,none,individ,0,1,
draft-secroot-ooda-http,1,Individual Submissions,none,individ,0,1,http
draft-secure-cookie-session-protocol,1,Individual Submissions,none,individ,0,1,
draft-secure-credential-transfer,1,Individual Submissions,none,individ,0,1,
draft-seddigh-pdb-ar,1,Individual Submissions,none,individ,0,1,
draft-seedorf-alto-for-cdni,1,Individual Submissions,none,individ,0,1,alto;cdni
draft-seedorf-cdni-fci-alto,1,Individual Submissions,none,individ,0,1,alto;cdni
draft-seedorf-cdni-request-routing-alto,1,Transport Area,tsv,area,0,0,alto;cdni
draft-seedorf-i2aex-alto-cdni-perpective,1,Individual Submissions,none,individ,0,1,alto;cdni
draft-seedorf-icn-disaster,1,Individual Submissions,none,individ,0,1,
draft-seedorf-icn-wot-selfcertifying,1,Individual Submissions,none,individ,0,1,
draft-seedorf-lmap-alto,1,Individual Submissions,none,individ,0,1,alto;lmap
draft-seedorf-ppsp-design-considerations,1,Individual Submissions,none,individ,0,1,ppsp
draft-seedorf-sipping-spam-score-semantics,1,Individual Submissions,none,individ,0,1,sipping
draft-seemann-masque-connect-udp-ecn,1,Individual Submissions,none,individ,0,1,masque
draft-seemann-quic-accurate-ack-ecn,1,Individual Submissions,none,individ,0,1,quic
draft-seemann-quic-address-discovery,1,QUIC,quic,wg,1,0,quic
draft-seemann-quic-nat-traversal,1,Individual Submissions,none,individ,0,1,nat;quic
draft-seemann-quic-reliable-stream-reset,1,Individual Submissions,none,individ,0,1,quic
draft-seemann-quic-stream-groups,1,Individual Submissions,none,individ,0,1,quic
draft-seemann-tsvwg-udp-fragmentation,1,Individual Submissions,none,individ,0,1,tsvwg
draft-seethiraju-dawn-dan,1,Individual Submissions,none,individ,0,1,
draft-segelstein-mboned-amt-dns,1,Individual Submissions,none,individ,0,1,dns;mboned
draft-segers-tls-cert-val-ext-use-case,1,Individual Submissions,none,individ,0,1,tls
draft-segers-tls-cert-validation-ext,1,Individual Submissions,none,individ,0,1,tls
draft-seggelmann-tls-dtls-heartbeat,1,Individual Submissions,none,individ,0,1,tls
draft-segmuller-imap-structure,1,Individual Submissions,none,individ,0,1,imap
draft-segmuller-sieve-relation,1,Applications Area,app,area,0,0,sieve
draft-sehgal-roll-rpl-mib,1,Individual Submissions,none,individ,0,1,roll
draft-sehgal-scim-delta-query,1,Individual Submissions,none,individ,0,1,scim
draft-seidel-alto-map-calculation,1,Individual Submissions,none,individ,0,1,alto
draft-seidman-clientsideimagemap,1,Individual Submissions,none,individ,0,1,
draft-seif-ion-mcm,1,Individual Submissions,none,individ,0,1,ion
draft-seite-dmm-bonding,1,Individual Submissions,none,individ,0,1,dmm
draft-seite-dmm-dma,1,Individual Submissions,none,individ,0,1,dmm
draft-seite-dmm-rg-multihoming,1,Distributed Mobility Management,dmm,wg,1,0,dmm
draft-seite-mext-dma,1,Individual Submissions,none,individ,0,1,mext
draft-seite-mif-cm,1,Individual Submissions,none,individ,0,1,mif
draft-seite-mif-connection-manager,1,Individual Submissions,none,individ,0,1,mif
draft-seite-netext-dma,1,Individual Submissions,none,individ,0,1,netext
draft-seitz-ace-core-authz,1,Individual Submissions,none,individ,0,1,ace;core
draft-seitz-ace-design-considerations,1,Individual Submissions,none,individ,0,1,ace
draft-seitz-ace-oauth-authz,1,Individual Submissions,none,individ,0,1,ace;oauth
draft-seitz-ace-ocsoap-profile,1,Individual Submissions,none,individ,0,1,ace
draft-seitz-ace-oscoap-profile,1,Individual Submissions,none,individ,0,1,ace
draft-seitz-ace-problem-description,1,Individual Submissions,none,individ,0,1,ace;problem
draft-seitz-ace-ticket-token-transfer,1,Individual Submissions,none,individ,0,1,ace
draft-seitz-ace-usecases,1,Individual Submissions,none,individ,0,1,ace
draft-seitz-core-sec-usecases,1,Individual Submissions,none,individ,0,1,core
draft-seitz-core-security-modes,1,Individual Submissions,none,individ,0,1,core
draft-seitz-netconf-xacml,1,Individual Submissions,none,individ,0,1,netconf
