rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,draft_name,lineage_depth,rev,submission_date,state,publication_year
/api/v1/doc/document/rfc5118/,5118,rfc5118,Session Initiation Protocol (SIP) Torture Test Messages for Internet Protocol Version 6 (IPv6),2008-02-09 01:23:31+00:00,/api/v1/doc/document/draft-ietf-sipping-ipv6-torture-tests/,/api/v1/doc/document/draft-ietf-sipping-ipv6-torture-tests/,draft-ietf-sipping-ipv6-torture-tests,0,04,2007-10-12,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5121/,5121,rfc5121,Transmission of IPv6 via the IPv6 Convergence Sublayer over IEEE 802.16 Networks,2008-02-12 19:59:06+00:00,/api/v1/doc/document/draft-ietf-16ng-ipv6-over-ipv6cs/,/api/v1/doc/document/draft-ietf-16ng-ipv6-over-ipv6cs/,draft-ietf-16ng-ipv6-over-ipv6cs,0,10,2007-11-11,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5121/,5121,rfc5121,Transmission of IPv6 via the IPv6 Convergence Sublayer over IEEE 802.16 Networks,2008-02-12 19:59:06+00:00,/api/v1/doc/document/draft-ietf-16ng-ipv6-over-ipv6cs/,/api/v1/doc/document/draft-ietf-16ng-ipv6-over-ipv6cs/,draft-ietf-16ng-ipv6-over-ipv6cs,0,11,2007-11-12,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5130/,5130,rfc5130,A Policy Control Mechanism in IS-IS Using Administrative Tags,2008-02-12 19:59:16+00:00,/api/v1/doc/document/draft-ietf-isis-admin-tags/,/api/v1/doc/document/draft-ietf-isis-admin-tags/,draft-ietf-isis-admin-tags,0,04,2007-11-19,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5106/,5106,rfc5106,The Extensible Authentication Protocol-Internet Key Exchange Protocol version 2 (EAP-IKEv2) Method,2008-02-15 02:10:41+00:00,/api/v1/doc/document/draft-tschofenig-eap-ikev2/,/api/v1/doc/document/draft-tschofenig-eap-ikev2/,draft-tschofenig-eap-ikev2,0,15,2007-09-27,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5104/,5104,rfc5104,Codec Control Messages in the RTP Audio-Visual Profile with Feedback (AVPF),2008-02-23 01:11:25+00:00,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,draft-ietf-avt-avpf-ccm,0,08,2007-07-06,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5104/,5104,rfc5104,Codec Control Messages in the RTP Audio-Visual Profile with Feedback (AVPF),2008-02-23 01:11:25+00:00,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,draft-ietf-avt-avpf-ccm,0,09,2007-08-01,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5104/,5104,rfc5104,Codec Control Messages in the RTP Audio-Visual Profile with Feedback (AVPF),2008-02-23 01:11:25+00:00,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,draft-ietf-avt-avpf-ccm,0,10,2007-10-26,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5127/,5127,rfc5127,Aggregation of Diffserv Service Classes,2008-02-23 01:11:38+00:00,/api/v1/doc/document/draft-ietf-tsvwg-diffserv-class-aggr/,/api/v1/doc/document/draft-ietf-tsvwg-diffserv-class-aggr/,draft-ietf-tsvwg-diffserv-class-aggr,0,06,2007-10-30,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5127/,5127,rfc5127,Aggregation of Diffserv Service Classes,2008-02-23 01:11:38+00:00,/api/v1/doc/document/draft-ietf-tsvwg-diffserv-class-aggr/,/api/v1/doc/document/draft-ietf-tsvwg-diffserv-class-aggr/,draft-ietf-tsvwg-diffserv-class-aggr,0,07,2007-11-05,/api/v1/name/draftsubmissionstatename/posted/,2008
