resource_uri,rfc_number,rfc_name,title,pages,words,stream,group_uri,publication_time,group_acronym,group_name,group_type,parent_group_uri,parent_acronym,parent_name,parent_type,publication_year,stream_slug,group_type_slug,parent_type_slug,raw_area,area_category
/api/v1/doc/document/rfc3925/,3925,rfc3925,Vendor-Identifying Vendor Options for Dynamic Host Configuration Protocol version 4 (DHCPv4),9,2397.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/988/,2004-10-22 21:39:54+00:00,dhc,Dynamic Host Configuration,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1052/,int,Internet Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,int,int
/api/v1/doc/document/rfc3928/,3928,rfc3928,Lightweight Directory Access Protocol (LDAP) Client Update Protocol (LCUP),30,10622.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1373/,2004-10-22 21:40:34+00:00,ldup,LDAP Duplication/Replication/Update Protocols,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
/api/v1/doc/document/rfc3929/,3929,rfc3929,Alternative Decision Making Processes for Consensus-Blocked Decisions in the IETF,11,3791.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1008/,2004-10-22 21:43:10+00:00,gen,General Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ietf,area,ietf,iesg,Other
/api/v1/doc/document/rfc3934/,3934,rfc3934,Updates to RFC 2418 Regarding the Management of IETF Mailing Lists,5,1269.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1008/,2004-10-22 21:44:16+00:00,gen,General Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ietf,area,ietf,iesg,Other
/api/v1/doc/document/rfc3935/,3935,rfc3935,A Mission Statement for the IETF,7,2412.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1008/,2004-10-22 21:45:28+00:00,gen,General Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ietf,area,ietf,iesg,Other
/api/v1/doc/document/rfc3936/,3936,rfc3936,Procedures for Modifying the Resource reSerVation Protocol (RSVP),7,2108.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1324/,2004-10-22 21:46:28+00:00,tsv,Transport Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ietf,area,ietf,iesg,Other
/api/v1/doc/document/rfc3938/,3938,rfc3938,Video-Message Message-Context,4,812.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1008/,2004-10-22 21:47:38+00:00,gen,General Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ietf,area,ietf,iesg,Other
/api/v1/doc/document/rfc3930/,3930,rfc3930,The Protocol versus Document Points of View in Computer Protocols,15,5278.0,/api/v1/name/streamname/ise/,/api/v1/group/group/934/,2004-10-22 22:23:12+00:00,app,Applications Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ise,area,ietf,Other,Other
/api/v1/doc/document/rfc3875/,3875,rfc3875,The Common Gateway Interface (CGI) Version 1.1,36,12159.0,/api/v1/name/streamname/ise/,/api/v1/group/group/934/,2004-10-26 22:30:38+00:00,app,Applications Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ise,area,ietf,Other,Other
/api/v1/doc/document/rfc3954/,3954,rfc3954,Cisco Systems NetFlow Services Export Version 9,33,9176.0,/api/v1/name/streamname/ise/,/api/v1/group/group/1193/,2004-10-28 17:46:54+00:00,ops,Operations and Management Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ise,area,ietf,Other,Other
