rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,complete_revision_count,first_recorded_submission,last_recorded_submission,family_draft_count,maximum_lineage_depth,final_draft_revision_count,predecessor_revision_count,recorded_development_days
/api/v1/doc/document/rfc6751/,6751,rfc6751,Native IPv6 behind IPv4-to-IPv4 NAT Customer Premises Equipment (6a44),2012-10-16 07:23:10+00:00,2012,/api/v1/doc/document/draft-despres-6a44/,6,2010-10-05,2012-06-22,3,1,3,3,742
/api/v1/doc/document/rfc6752/,6752,rfc6752,Issues with Private IP Addressing in the Internet,2012-09-26 07:23:41+00:00,2012,/api/v1/doc/document/draft-ietf-grow-private-ip-sp-cores/,8,2012-03-28,2012-07-30,1,0,8,0,182
/api/v1/doc/document/rfc6753/,6753,rfc6753,A Location Dereference Protocol Using HTTP-Enabled Location Delivery (HELD),2012-10-25 07:23:29+00:00,2012,/api/v1/doc/document/draft-ietf-geopriv-deref-protocol/,14,2007-11-11,2012-07-13,2,1,8,6,1810
/api/v1/doc/document/rfc6754/,6754,rfc6754,Protocol Independent Multicast Equal-Cost Multipath (ECMP) Redirect,2012-10-25 07:23:31+00:00,2012,/api/v1/doc/document/draft-ietf-pim-ecmp/,8,2011-03-04,2012-07-31,2,1,6,2,601
/api/v1/doc/document/rfc6755/,6755,rfc6755,An IETF URN Sub-Namespace for OAuth,2012-10-05 07:24:20+00:00,2012,/api/v1/doc/document/draft-ietf-oauth-urn-sub-ns/,9,2011-07-29,2012-07-16,2,1,7,2,434
/api/v1/doc/document/rfc6756/,6756,rfc6756,Internet Engineering Task Force and International Telecommunication Union - Telecommunication Standardization Sector Collaboration Guidelines,2012-09-26 07:23:41+00:00,2012,/api/v1/doc/document/draft-iab-rfc3356bis/,6,2012-04-08,2012-06-20,1,0,6,0,171
/api/v1/doc/document/rfc6757/,6757,rfc6757,Access Network Identifier (ANI) Option for Proxy Mobile IPv6,2012-10-19 07:24:44+00:00,2012,/api/v1/doc/document/draft-ietf-netext-access-network-option/,15,2011-02-17,2012-08-08,2,1,13,2,610
/api/v1/doc/document/rfc6758/,6758,rfc6758,Tunneling of SMTP Message Transfer Priorities,2012-10-19 07:24:44+00:00,2012,/api/v1/doc/document/draft-melnikov-smtp-priority-tunneling/,5,2012-05-01,2012-07-31,1,0,5,0,171
/api/v1/doc/document/rfc6759/,6759,rfc6759,Cisco Systems Export of Application Information in IP Flow Information Export (IPFIX),2012-11-07 08:22:53+00:00,2012,/api/v1/doc/document/draft-claise-export-application-info-in-ipfix/,10,2011-03-10,2012-08-08,1,0,10,0,608
/api/v1/doc/document/rfc6769/,6769,rfc6769,Simple Virtual Aggregation (S-VA),2012-10-25 07:23:32+00:00,2012,/api/v1/doc/document/draft-ietf-grow-simple-va/,13,2010-03-01,2012-08-16,1,0,13,0,969
/api/v1/doc/document/rfc6770/,6770,rfc6770,Use Cases for Content Delivery Network Interconnection,2012-11-20 08:23:22+00:00,2012,/api/v1/doc/document/draft-ietf-cdni-use-cases/,14,2011-01-13,2012-08-09,2,1,11,3,677
/api/v1/doc/document/rfc6771/,6771,rfc6771,"Considerations for Having a Successful ""Bar BOF"" Side Meeting",2012-10-19 07:24:45+00:00,2012,/api/v1/doc/document/draft-eggert-successful-bar-bof/,10,2010-03-25,2012-08-31,1,0,10,0,939
/api/v1/doc/document/rfc6773/,6773,rfc6773,DCCP-UDP: A Datagram Congestion Control Protocol UDP Encapsulation for NAT Traversal,2012-11-14 08:24:01+00:00,2012,/api/v1/doc/document/draft-ietf-dccp-udpencap/,16,2008-02-14,2012-06-25,2,1,12,4,1735
/api/v1/doc/document/rfc6774/,6774,rfc6774,Distribution of Diverse BGP Paths,2012-11-07 08:22:53+00:00,2012,/api/v1/doc/document/draft-ietf-grow-diverse-bgp-path-dist/,9,2010-06-19,2012-07-31,1,0,9,0,872
/api/v1/doc/document/rfc6775/,6775,rfc6775,Neighbor Discovery Optimization for IPv6 over Low-Power Wireless Personal Area Networks (6LoWPANs),2012-11-07 08:22:53+00:00,2012,/api/v1/doc/document/draft-ietf-6lowpan-nd/,27,2007-11-19,2012-08-24,5,1,21,6,1815
/api/v1/doc/document/rfc6776/,6776,rfc6776,Measurement Identity and Information Reporting Using a Source Description (SDES) Item and an RTCP Extended Report (XR) Block,2012-10-25 07:23:32+00:00,2012,/api/v1/doc/document/draft-ietf-xrblock-rtcp-xr-meas-identity/,11,2011-09-26,2012-08-29,1,0,11,0,395
/api/v1/doc/document/rfc6777/,6777,rfc6777,Label Switched Path (LSP) Data Path Delay Metrics in Generalized MPLS and MPLS Traffic Engineering (MPLS-TE) Networks,2012-11-07 08:22:54+00:00,2012,/api/v1/doc/document/draft-ietf-ccamp-dpm/,11,2009-06-26,2012-08-31,2,1,9,2,1230
/api/v1/doc/document/rfc6778/,6778,rfc6778,Requirements for Archiving IETF Email Lists and for Providing Web-Based Browsing and Searching,2012-10-31 07:22:46+00:00,2012,/api/v1/doc/document/draft-sparks-genarea-mailarch/,8,2011-11-14,2012-08-30,1,0,8,0,352
/api/v1/doc/document/rfc6779/,6779,rfc6779,Definition of Managed Objects for the Neighborhood Discovery Protocol,2012-10-31 07:22:46+00:00,2012,/api/v1/doc/document/draft-ietf-manet-nhdp-mib/,20,2008-05-12,2012-09-09,2,1,18,2,1633
/api/v1/doc/document/rfc6780/,6780,rfc6780,RSVP ASSOCIATION Object Extensions,2012-10-27 07:24:43+00:00,2012,/api/v1/doc/document/draft-ietf-ccamp-assoc-ext/,7,2011-05-03,2012-09-21,1,0,7,0,543
/api/v1/doc/document/rfc6781/,6781,rfc6781,"DNSSEC Operational Practices, Version 2",2012-12-22 08:26:30+00:00,2012,/api/v1/doc/document/draft-ietf-dnsop-rfc4641bis/,14,2009-03-02,2012-09-11,1,0,14,0,1391
/api/v1/doc/document/rfc6782/,6782,rfc6782,Wireline Incremental IPv6,2012-11-08 08:23:54+00:00,2012,/api/v1/doc/document/draft-ietf-v6ops-wireline-incremental-ipv6/,10,2011-07-04,2012-09-10,2,1,7,3,493
/api/v1/doc/document/rfc6783/,6783,rfc6783,Mailing Lists and Non-ASCII Addresses,2012-11-07 08:22:54+00:00,2012,/api/v1/doc/document/draft-ietf-eai-mailinglistbis/,6,2011-11-21,2012-07-14,1,0,6,0,352
/api/v1/doc/document/rfc6784/,6784,rfc6784,Kerberos Options for DHCPv6,2012-11-07 08:22:55+00:00,2012,/api/v1/doc/document/draft-sakane-dhc-dhcpv6-kdc-option/,14,2009-10-26,2012-09-13,1,0,14,0,1108
/api/v1/doc/document/rfc6785/,6785,rfc6785,Support for Internet Message Access Protocol (IMAP) Events in Sieve,2012-11-08 08:23:55+00:00,2012,/api/v1/doc/document/draft-ietf-sieve-imap-sieve/,13,2007-11-19,2012-09-14,2,1,10,3,1816
/api/v1/doc/document/rfc6786/,6786,rfc6786,Encrypting the Protocol for Carrying Authentication for Network Access (PANA) Attribute-Value Pairs,2012-11-14 08:24:02+00:00,2012,/api/v1/doc/document/draft-yegin-pana-encr-avp/,11,2011-10-19,2012-09-07,1,0,11,0,392
/api/v1/doc/document/rfc6787/,6787,rfc6787,Media Resource Control Protocol Version 2 (MRCPv2),2012-11-13 08:24:26+00:00,2012,/api/v1/doc/document/draft-ietf-speechsc-mrcpv2/,14,2007-10-19,2012-08-28,1,0,14,0,1852
/api/v1/doc/document/rfc6788/,6788,rfc6788,The Line-Identification Option,2012-11-20 08:23:23+00:00,2012,/api/v1/doc/document/draft-ietf-6man-lineid/,9,2010-12-17,2012-08-17,1,0,9,0,704
/api/v1/doc/document/rfc6789/,6789,rfc6789,Congestion Exposure (ConEx) Concepts and Use Cases,2012-12-06 08:24:42+00:00,2012,/api/v1/doc/document/draft-ietf-conex-concepts-uses/,5,2011-03-14,2012-07-16,1,0,5,0,633
/api/v1/doc/document/rfc6790/,6790,rfc6790,The Use of Entropy Labels in MPLS Forwarding,2012-11-20 08:23:23+00:00,2012,/api/v1/doc/document/draft-ietf-mpls-entropy-label/,8,2010-07-12,2012-09-05,2,1,7,1,862
