rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,first_recorded_draft_date,family_draft_count,maximum_lineage_depth,days_to_publication
/api/v1/doc/document/rfc4704/,4704,rfc4704,The Dynamic Host Configuration Protocol for IPv6 (DHCPv6) Client Fully Qualified Domain Name (FQDN) Option,2006-10-26 02:11:00+00:00,2006,/api/v1/doc/document/draft-ietf-dhc-dhcpv6-fqdn/,2004-09-24 07:00:00+00:00,1,0,761
/api/v1/doc/document/rfc4705/,4705,rfc4705,GigaBeam High-Speed Radio Link Encryption,2006-10-12 00:34:04+00:00,2006,/api/v1/doc/document/draft-housley-gigabeam-radio-link-encrypt/,2006-04-28 07:00:00+00:00,1,0,166
/api/v1/doc/document/rfc4706/,4706,rfc4706,Definitions of Managed Objects for Asymmetric Digital Subscriber Line 2 (ADSL2),2006-11-30 01:31:21+00:00,2006,/api/v1/doc/document/draft-ietf-adslmib-adsl2/,1999-05-28 07:00:00+00:00,1,0,2742
/api/v1/doc/document/rfc4707/,4707,rfc4707,Netnews Administration System (NAS),2006-10-26 02:09:52+00:00,2006,/api/v1/doc/document/draft-dfncis-netnews-admin-sys/,2000-01-28 08:00:00+00:00,1,0,2462
/api/v1/doc/document/rfc4708/,4708,rfc4708,CellML Media Type,2006-10-26 02:10:52+00:00,2006,/api/v1/doc/document/draft-miller-media-type-cellml/,2006-03-27 08:00:00+00:00,1,0,212
/api/v1/doc/document/rfc4709/,4709,rfc4709,Mounting Web Distributed Authoring and Versioning (WebDAV) Servers,2006-10-26 02:11:13+00:00,2006,/api/v1/doc/document/draft-reschke-webdav-mount/,2005-08-08 07:00:00+00:00,1,0,443
/api/v1/doc/document/rfc4710/,4710,rfc4710,Real-time Application Quality-of-Service Monitoring (RAQMON) Framework,2006-10-20 01:32:07+00:00,2006,/api/v1/doc/document/draft-ietf-rmonmib-raqmon-framework/,2002-10-23 07:00:00+00:00,2,1,1457
/api/v1/doc/document/rfc4711/,4711,rfc4711,Real-time Application Quality-of-Service Monitoring (RAQMON) MIB,2006-10-20 01:32:18+00:00,2006,/api/v1/doc/document/draft-ietf-rmonmib-raqmon-mib/,2003-01-14 08:00:00+00:00,1,0,1374
/api/v1/doc/document/rfc4712/,4712,rfc4712,Transport Mappings for Real-time Application Quality-of-Service Monitoring (RAQMON) Protocol Data Unit (PDU),2006-10-20 01:32:13+00:00,2006,/api/v1/doc/document/draft-ietf-rmonmib-raqmon-pdu/,2003-01-15 08:00:00+00:00,1,0,1373
/api/v1/doc/document/rfc4713/,4713,rfc4713,Registration and Administration Recommendations for Chinese Domain Names,2006-10-13 01:18:00+00:00,2006,/api/v1/doc/document/draft-xdlee-idn-cdnadmin/,2003-08-20 07:00:00+00:00,1,0,1149
