rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,publication_year
/api/v1/doc/document/rfc5146/,5146,rfc5146,Interworking Requirements to Support Operation of MPLS-TE over GMPLS Networks,2008-03-21 23:33:25+00:00,/api/v1/doc/document/draft-ietf-ccamp-mpls-gmpls-interwork-reqts/,/api/v1/doc/document/draft-ietf-ccamp-mpls-gmpls-interwork-reqts/,0,draft-ietf-ccamp-mpls-gmpls-interwork-reqts,2008
/api/v1/doc/document/rfc5146/,5146,rfc5146,Interworking Requirements to Support Operation of MPLS-TE over GMPLS Networks,2008-03-21 23:33:25+00:00,/api/v1/doc/document/draft-ietf-ccamp-mpls-gmpls-interwork-reqts/,/api/v1/doc/document/draft-kumaki-ccamp-mpls-gmpls-interwork-reqts/,1,draft-kumaki-ccamp-mpls-gmpls-interwork-reqts,2008
/api/v1/doc/document/rfc5166/,5166,rfc5166,Metrics for the Evaluation of Congestion Control Mechanisms,2008-03-21 23:33:41+00:00,/api/v1/doc/document/draft-irtf-tmrg-metrics/,/api/v1/doc/document/draft-irtf-tmrg-metrics/,0,draft-irtf-tmrg-metrics,2008
/api/v1/doc/document/rfc5182/,5182,rfc5182,IMAP Extension for Referencing the Last SEARCH Result,2008-03-21 23:34:04+00:00,/api/v1/doc/document/draft-melnikov-imap-search-res/,/api/v1/doc/document/draft-melnikov-imap-search-res/,0,draft-melnikov-imap-search-res,2008
/api/v1/doc/document/rfc5216/,5216,rfc5216,The EAP-TLS Authentication Protocol,2008-03-21 23:34:43+00:00,/api/v1/doc/document/draft-simon-emu-rfc2716bis/,/api/v1/doc/document/draft-simon-emu-rfc2716bis/,0,draft-simon-emu-rfc2716bis,2008
/api/v1/doc/document/rfc5190/,5190,rfc5190,Definitions of Managed Objects for Middlebox Communication,2008-03-25 21:47:31+00:00,/api/v1/doc/document/draft-ietf-midcom-mib/,/api/v1/doc/document/draft-ietf-midcom-mib/,0,draft-ietf-midcom-mib,2008
/api/v1/doc/document/rfc5190/,5190,rfc5190,Definitions of Managed Objects for Middlebox Communication,2008-03-25 21:47:31+00:00,/api/v1/doc/document/draft-ietf-midcom-mib/,/api/v1/doc/document/draft-barnes-midcom-mib/,1,draft-barnes-midcom-mib,2008
/api/v1/doc/document/rfc5198/,5198,rfc5198,Unicode Format for Network Interchange,2008-03-27 21:49:56+00:00,/api/v1/doc/document/draft-klensin-net-utf8/,/api/v1/doc/document/draft-klensin-net-utf8/,0,draft-klensin-net-utf8,2008
/api/v1/doc/document/rfc5128/,5128,rfc5128,State of Peer-to-Peer (P2P) Communication across Network Address Translators (NATs),2008-03-28 21:10:43+00:00,/api/v1/doc/document/draft-ietf-behave-p2p-state/,/api/v1/doc/document/draft-ietf-behave-p2p-state/,0,draft-ietf-behave-p2p-state,2008
/api/v1/doc/document/rfc5128/,5128,rfc5128,State of Peer-to-Peer (P2P) Communication across Network Address Translators (NATs),2008-03-28 21:10:43+00:00,/api/v1/doc/document/draft-ietf-behave-p2p-state/,/api/v1/doc/document/draft-srisuresh-behave-p2p-state/,1,draft-srisuresh-behave-p2p-state,2008
/api/v1/doc/document/rfc5224/,5224,rfc5224,Diameter Policy Processing Application,2008-03-28 21:10:46+00:00,/api/v1/doc/document/draft-brenner-dime-peem/,/api/v1/doc/document/draft-brenner-dime-peem/,0,draft-brenner-dime-peem,2008
/api/v1/doc/document/rfc5172/,5172,rfc5172,Negotiation for IPv6 Datagram Compression Using IPv6 Control Protocol,2008-03-28 21:10:50+00:00,/api/v1/doc/document/draft-ietf-ipv6-compression-nego-v2/,/api/v1/doc/document/draft-ietf-ipv6-compression-nego-v2/,0,draft-ietf-ipv6-compression-nego-v2,2008
