publication_year,publishing_unit_id,figure_area,rfc_count,group_acronym,group_name,stream_slug,group_type_slug
2004,wg:/api/v1/group/group/1132/,rtg,1,manet,Mobile Ad-hoc Networks,ietf,wg
2004,wg:/api/v1/group/group/1140/,rtg,5,mpls,Multiprotocol Label Switching,ietf,wg
2004,wg:/api/v1/group/group/1188/,rtg,1,ospf,Open Shortest Path First IGP,ietf,wg
2004,wg:/api/v1/group/group/1348/,rtg,1,vrrp,Virtual Router Redundancy Protocol,ietf,wg
2004,wg:/api/v1/group/group/1456/,rtg,1,bgmp,Border Gateway Multicast Protocol,ietf,wg
2004,wg:/api/v1/group/group/1469/,rtg,1,l2tpext,Layer Two Tunneling Protocol Extensions,ietf,wg
2004,wg:/api/v1/group/group/1518/,rtg,1,forces,Forwarding and Control Element Separation,ietf,wg
2004,wg:/api/v1/group/group/1524/,rtg,2,ccamp,Common Control and Measurement Plane,ietf,wg
2004,wg:/api/v1/group/group/1538/,rtg,1,pwe3,Pseudowire Emulation Edge to Edge,ietf,wg
2004,wg:/api/v1/group/group/1594/,rtg,1,l3vpn,Layer 3 Virtual Private Networks,ietf,wg
2004,wg:/api/v1/group/group/1619/,rtg,1,rtgwg,Routing Area Working Group,ietf,wg
2004,wg:/api/v1/group/group/1091/,sec,4,ipsec,IP Security Protocol,ietf,wg
2004,wg:/api/v1/group/group/1223/,sec,6,pkix,Public-Key Infrastructure (X.509),ietf,wg
2004,wg:/api/v1/group/group/1258/,sec,6,smime,S/MIME Mail Security,ietf,wg
2004,wg:/api/v1/group/group/1326/,sec,1,tls,Transport Layer Security,ietf,wg
2004,wg:/api/v1/group/group/1442/,sec,1,xmldsig,XML Digital Signatures,ietf,wg
2004,wg:/api/v1/group/group/1501/,sec,2,sacred,Securely Available Credentials,ietf,wg
2004,wg:/api/v1/group/group/1511/,sec,2,msec,Multicast Security,ietf,wg
2004,wg:/api/v1/group/group/1427/,tsv,1,pilc,Performance Implications of Link Characteristics,ietf,wg
2004,wg:/api/v1/group/group/1437/,tsv,5,rmt,Reliable Multicast Transport,ietf,wg
2004,wg:/api/v1/group/group/1471/,tsv,1,spirits,Service in the PSTN/IN Requesting InTernet Service,ietf,wg
2004,wg:/api/v1/group/group/1474/,tsv,3,rohc,Robust Header Compression,ietf,wg
2004,wg:/api/v1/group/group/1485/,tsv,7,ips,IP Storage,ietf,wg
2004,wg:/api/v1/group/group/1499/,tsv,1,seamoby,"Context Transfer, Handoff Candidate Discovery, and Dormant Mode Host Alerting",ietf,wg
2004,wg:/api/v1/group/group/1537/,tsv,1,nsis,Next Steps in Signaling,ietf,wg
2004,wg:/api/v1/group/group/1463/,wit,5,tsvwg,Transport and Services Working Group,ietf,wg
2005,stream:iab,Other,6,iab,Internet Architecture Board,iab,ietf
2005,stream:ietf-other,Other,66,gen,General Area,ietf,area
2005,stream:ise,Other,19,ops,Operations and Management Area,ise,area
2005,stream:legacy,Other,1,tewg,Internet Traffic Engineering,legacy,wg
2005,wg:/api/v1/group/group/1458/,Other,6,tewg,Internet Traffic Engineering,ietf,wg
2005,wg:/api/v1/group/group/1484/,Other,1,ipo,IP over Optical,ietf,wg
2005,wg:/api/v1/group/group/1572/,Other,2,ipr,Intellectual Property Rights,ietf,wg
2005,wg:/api/v1/group/group/1054/,app,7,fax,Internet Fax,ietf,wg
2005,wg:/api/v1/group/group/1062/,app,4,ipp,Internet Printing Protocol,ietf,wg
2005,wg:/api/v1/group/group/1395/,app,3,trade,Internet Open Trading Protocol,ietf,wg
2005,wg:/api/v1/group/group/1409/,app,1,imapext,Internet Message Access Protocol Extension,ietf,wg
2005,wg:/api/v1/group/group/1451/,app,3,vpim,Voice Profile for Internet Mail,ietf,wg
2005,wg:/api/v1/group/group/1515/,app,2,opes,Open Pluggable Edge Services,ietf,wg
2005,wg:/api/v1/group/group/1563/,app,3,crisp,Cross Registry Information Service Protocol,ietf,wg
2005,wg:/api/v1/group/group/1604/,app,2,ipdvb,IP over DVB,ietf,wg
2005,wg:/api/v1/group/group/1627/,app,1,atompub,Atom Publishing Format and Protocol,ietf,wg
2005,wg:/api/v1/group/group/1138/,art,3,mmusic,Multiparty Multimedia Session Control,ietf,wg
2005,wg:/api/v1/group/group/990/,art,1,ediint,Electronic Data Interchange-Internet Integration,ietf,wg
2005,wg:/api/v1/group/group/1428/,int,1,eap,Extensible Authentication Protocol,ietf,wg
2005,wg:/api/v1/group/group/1461/,int,1,zeroconf,Zero Configuration Networking,ietf,wg
