lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names,publication_success,publication_status,success_reason,success_rfc_names,success_final_drafts,recorded_groups,recorded_wgs,recorded_wg_count,has_recorded_wg,has_individual_submissions,individual_members,no_recorded_group_members,first_individual_date,first_recorded_wg_date,first_recorded_wgs,individual_to_wg,time_to_wg_days,filename_wg_candidates,filename_candidate_count,filename_candidate_status,wg_classification
lineage_008098,draft-gakiwate-dnsop-svcb-bg-priority-parameter;draft-gakiwate-dnsop-svcb-sla-parameter,2,2,2025-02-28,2025-06-25,117.0,0.3203285420944558,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-gakiwate-dnsop-svcb-bg-priority-parameter;draft-gakiwate-dnsop-svcb-sla-parameter,,2025-02-28,,,0,,dnsop,1,Single candidate,Individual / no recorded WG
lineage_008099,draft-gakiwate-dnssd-use-svcb,1,1,2025-03-01,2025-03-01,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-gakiwate-dnssd-use-svcb,,2025-03-01,,,0,,dnssd,1,Single candidate,Individual / no recorded WG
lineage_008100,draft-galand-an-routing,1,1,2000-11-16,2000-11-16,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-galand-an-routing,,2000-11-16,,,0,,,0,None,Individual / no recorded WG
lineage_008101,draft-galanos-fecframe-rtp-reedsolomon,1,4,2009-10-12,2011-03-14,518.0,1.4182067077344285,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-galanos-fecframe-rtp-reedsolomon,,2009-10-12,,,0,,fecframe,1,Single candidate,Individual / no recorded WG
lineage_008102,draft-galanos-fecframe-rtp-reedsolomon-mf,1,1,2009-07-01,2009-07-01,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-galanos-fecframe-rtp-reedsolomon-mf,,2009-07-01,,,0,,fecframe,1,Single candidate,Individual / no recorded WG
lineage_008103,draft-galb-filexfer-extensions,1,1,2005-10-05,2005-10-05,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-galb-filexfer-extensions,,2005-10-05,,,0,,,0,None,Individual / no recorded WG
lineage_008104,draft-galb-secsh-gssapi,1,2,2000-11-16,2001-03-05,109.0,0.29842573579739906,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-galb-secsh-gssapi,,2000-11-16,,,0,,secsh,1,Single candidate,Individual / no recorded WG
lineage_008105,draft-galb-secsh-publickey-channel,1,1,2000-11-16,2000-11-16,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-galb-secsh-publickey-channel,,2000-11-16,,,0,,secsh,1,Single candidate,Individual / no recorded WG
lineage_008106,draft-galb-secsh-publickey-subsystem,1,3,2002-10-18,2003-08-20,306.0,0.837782340862423,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-galb-secsh-publickey-subsystem,,2002-10-18,,,0,,secsh,1,Single candidate,Individual / no recorded WG
lineage_008107,draft-galikunze-ccamp-dwdm-if-snmp-mib,1,2,2015-10-19,2016-03-17,150.0,0.4106776180698152,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-galikunze-ccamp-dwdm-if-snmp-mib,,2015-10-19,,,0,,ccamp;snmp,2,Ambiguous candidates,Individual / no recorded WG
